 Thema , Fragen 
" Feedback an CorrelAid (Rekrutierung, Workshop, Koordination, Unterstützung...)  ", Was läuft gut in der Arbeit von CorrelAid?
, Was sollte verbessert werden?
 Testimonial  , Teamtestimonials
, Testimonials von einzelnen Mitgliedern
" Projekt Review (Zielsetzung, Zeitplan, Zusammenarbeit, Projektleitung, Kommunikation, Arbeitsatmosphäre)", Was lief gut?
,Was lief schlecht in der Projektarbeit?
,Was für Schwierigkeiten gab es?
,Wie kann die Projektarbeit verbessert werden?
 Feedback an anderen Teammitgliedern , Was schätze ich an Deiner Arbeit? 
   ,Was wünsche ich Dir für ein besseres Gelingen?
 Selbstreflextion , Was habe ich gut gemacht? 
,Was sollte ich noch verbessern?
