 Projektschritt ,  Name Template , Link , Hinweise ,,
2,  Ausschreibung Projekt Formular , , ,,
 , Ausschreibung , , eMail Text ,,
 , Übersicht Bewerberinnen , , , , 
 , Zusage Projekt , , eMail Text , ,
 , Absage Projekt , , eMail Text , ,
 , Begrüßung des Projektteams , , eMail Text , ,
3, Präsentation Vorstellung CorrelAid , , , ,
 , Präsentation Vorstellung der Tools , , , ,
5, Ausschreibung Review Formular , , , ,
 , Ausschreibung Review , , eMail Text , ,
 , Zusage Review  , , eMail Text , ,
 , Instruktionen Review , , , ,
 , Absage Review , , eMail Text , ,
6, Teilnahmebescheinigung , , , ,
7, eMail Follow Up , , , ,
 , Agenda Follow Up , , , ,
 , Fragebogen Follow Up , , , ,
